Country Name,ISO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Males,Females,Latitude,Longitude,Basic water access,Basic sanitation,GDP (Millions),Continent Code,Continent Name
Afghanistan,AFG,140.2576,136.2471,132.2062,128.1864,124.2413,120.3901,116.7798,113.2955,109.9299,106.7334,103.7213,100.8345,98.0649,95.3482,92.7279,90.1541,87.5605,84.9318,82.3004,79.6460,76.9888,74.3128,71.6603,69.0354,66.5258,64.1006,61.7264,59.4546,57.2252,55.1609,53.1698,51.3191,49.6114,48.0433,46.5128,49.8007,43.0507,33.93911,67.709953,75.09141325,50.49964687,19807.06727,AS,Asia
Albania,ALB,46.5089,43.6805,41.1640,39.0081,37.1027,35.4896,34.1106,32.8925,31.7979,30.7558,29.7111,28.6364,27.5253,26.4178,25.2633,24.0992,22.9085,21.6617,20.4041,19.1088,17.8272,16.5449,15.2925,14.0775,12.9145,11.8281,10.8251,9.9630,9.2844,8.8060,8.5095,8.3787,8.3778,8.4736,8.6143,9.5213,7.6594,41.153332,20.168331,95.06803883,100,14799.6151,EU,Europe
Algeria,DZA,59.5458,53.2068,48.5607,45.3267,43.2044,41.7731,40.7175,39.8389,38.9749,38.0433,37.1166,36.2502,35.4813,34.8710,34.4053,33.9191,33.2467,32.3640,31.2840,30.0746,28.8234,27.5958,26.4372,25.3499,24.3815,23.5629,22.9338,22.4715,22.1373,21.8731,21.6127,21.2804,20.8725,20.4293,19.9549,21.2539,18.5916,28.033886,1.659626,94.43732996,85.96546957,145163.9022,AF,Africa
Andorra,AND,10.1069,9.8935,9.7090,9.4868,9.2803,9.0775,8.8311,8.6166,8.4080,8.1631,7.9055,7.6593,7.3690,7.1041,6.8407,6.5718,6.3158,6.0845,5.8186,5.5986,5.3682,5.1333,4.9164,4.6809,4.4592,4.2563,4.0438,3.8504,3.6659,3.4954,3.3404,3.2004,3.0648,2.9414,2.8316,3.0919,2.5555,42.546245,1.601554,100,100,3155.065488,EU,Europe
Angola,AGO,133.2210,132.5104,131.9642,131.6643,131.3715,131.2955,131.2384,131.2541,131.3525,131.1586,130.7605,129.9154,128.4239,126.5162,124.1203,121.1951,117.8790,114.1660,110.0265,105.4044,100.6169,95.5678,90.4907,85.3452,80.4842,75.8686,71.4205,67.3164,63.7152,60.5405,57.8167,55.5622,53.5352,51.8714,50.1802,55.2507,44.851,-11.202692,17.873887,57.16773762,51.66032915,62306.91344,AF,Africa
Antigua and Barbuda,ATG,11.0514,10.9873,11.0087,11.1097,11.2545,11.4756,11.7494,12.0686,12.4094,12.7294,13.0223,13.2418,13.3575,13.3540,13.2453,13.0486,12.7446,12.3751,11.9620,11.5092,11.0393,10.5603,10.0760,9.5985,9.1328,8.6786,8.2364,7.8231,7.4282,7.0792,6.7704,6.4937,6.2347,6.0060,5.7904,6.2211,5.3362,17.060816,-61.796428,96.73918628,87.5,1415.059259,NA,North america
Argentina,ARG,26.9725,26.1398,25.6945,25.5552,25.4995,25.2991,24.8688,24.2038,23.3529,22.3992,21.4407,20.5309,19.6792,18.8850,18.1647,17.5318,16.9423,16.3671,15.7936,15.2546,14.7818,14.3766,14.0257,13.7004,13.3415,12.9084,12.4007,11.8574,11.3048,10.7548,10.2204,9.7005,9.1919,8.6990,8.2381,9.167,7.2676,-38.416097,-63.616672,99,95,383066.9777,SA,South america
Armenia,ARM,50.1511,48.3998,46.6962,48.9379,43.4032,41.7447,40.1051,38.4820,36.8794,35.3170,33.8197,32.3614,30.9466,29.5874,28.2771,27.0174,25.7932,24.6008,23.4547,22.3308,21.2571,20.2275,19.2467,18.3075,17.4044,16.5371,15.7189,14.9391,14.2054,13.5142,12.8499,12.2239,11.6070,11.0332,10.5087,11.5906,9.391,40.069099,45.038189,100,93.93674174,12645.45921,EU,Europe
Australia,AUS,9.3362,9.0640,8.7571,8.4089,8.0166,7.5838,7.1407,6.7173,6.3399,6.0216,5.7722,5.5826,5.4355,5.3181,5.2149,5.1168,5.0276,4.9570,4.9027,4.8444,4.7617,4.6504,4.5138,4.3580,4.1849,3.9968,3.8072,3.6292,3.4745,3.3487,3.2554,3.1879,3.1378,3.0962,3.0518,3.3155,2.7728,-25.274398,133.775136,100,100,1330900.925,OC,Oceania
Austria,AUT,10.6949,10.0660,9.4209,8.8434,8.3960,8.0287,7.6452,7.1954,6.6988,6.1791,5.6959,5.2970,5.0048,4.8028,4.6736,4.5881,4.5175,4.4341,4.3286,4.2005,4.0602,3.9392,3.8407,3.7588,3.6761,3.5842,3.4706,3.3398,3.2159,3.1185,3.0466,2.9933,2.9464,2.8986,2.8452,3.099,2.5766,47.516231,14.550072,100,100,428965.398,EU,Europe
